column updating,iteration,0,total_system_demand,3073.72,avg travel time,7.95949,optimization obj,2.80489,relative_gap,0.0114584,
column updating,iteration,1,total_system_demand,3073.72,avg travel time,7.95864,optimization obj,1.94938,relative_gap,0.00796591,
column updating,iteration,2,total_system_demand,3073.72,avg travel time,7.95814,optimization obj,1.43918,relative_gap,0.0058821,
column updating,iteration,3,total_system_demand,3073.72,avg travel time,7.95782,optimization obj,1.11472,relative_gap,0.00455654,
column updating,iteration,4,total_system_demand,3073.72,avg travel time,7.95762,optimization obj,0.919526,relative_gap,0.00375898,
column updating,iteration,5,total_system_demand,3073.72,avg travel time,7.95749,optimization obj,0.801711,relative_gap,0.00327752,
column updating,iteration,6,total_system_demand,3073.72,avg travel time,7.95741,optimization obj,0.727786,relative_gap,0.00297539,
column updating,iteration,7,total_system_demand,3073.72,avg travel time,7.95735,optimization obj,0.678777,relative_gap,0.00277508,
column updating,iteration,8,total_system_demand,3073.72,avg travel time,7.95731,optimization obj,0.643669,relative_gap,0.00263158,
column updating,iteration,9,total_system_demand,3073.72,avg travel time,7.95728,optimization obj,0.617131,relative_gap,0.00252311,
column updating,iteration,10,total_system_demand,3073.72,avg travel time,7.95725,optimization obj,0.597002,relative_gap,0.00244083,
column updating,iteration,11,total_system_demand,3073.72,avg travel time,7.95724,optimization obj,0.580646,relative_gap,0.00237397,
column updating,iteration,12,total_system_demand,3073.72,avg travel time,7.95722,optimization obj,0.566763,relative_gap,0.00231722,
column updating,iteration,13,total_system_demand,3073.72,avg travel time,7.95721,optimization obj,0.55499,relative_gap,0.00226909,
column updating,iteration,14,total_system_demand,3073.72,avg travel time,7.9572,optimization obj,0.54464,relative_gap,0.00222678,
column updating,iteration,15,total_system_demand,3073.72,avg travel time,7.95719,optimization obj,0.535359,relative_gap,0.00218884,
column updating,iteration,16,total_system_demand,3073.72,avg travel time,7.95718,optimization obj,0.526935,relative_gap,0.0021544,
column updating,iteration,17,total_system_demand,3073.72,avg travel time,7.95718,optimization obj,0.519382,relative_gap,0.00212352,
column updating,iteration,18,total_system_demand,3073.72,avg travel time,7.95717,optimization obj,0.512461,relative_gap,0.00209523,
column updating,iteration,19,total_system_demand,3073.72,avg travel time,7.95717,optimization obj,0.506106,relative_gap,0.00206925,
classification,impact_OD_counts,504,impact_OD_counts_with_detour,203
sensitivity analaysis,iteration,0,total_system_demand,29316.7,avg travel time,13.4757,optimization obj,65279,relative_gap,16.5031,
sensitivity analaysis,iteration,1,total_system_demand,29316.7,avg travel time,13.3537,optimization obj,61899.8,relative_gap,15.7921,
sensitivity analaysis,iteration,2,total_system_demand,29316.7,avg travel time,13.2382,optimization obj,58709.1,relative_gap,15.1092,
sensitivity analaysis,iteration,3,total_system_demand,29316.7,avg travel time,13.1287,optimization obj,55695,relative_gap,14.4533,
sensitivity analaysis,iteration,4,total_system_demand,29316.7,avg travel time,13.025,optimization obj,52846.4,relative_gap,13.8236,
sensitivity analaysis,iteration,5,total_system_demand,29316.7,avg travel time,12.9265,optimization obj,50153,relative_gap,13.2193,
sensitivity analaysis,iteration,6,total_system_demand,29316.7,avg travel time,12.8331,optimization obj,47605.2,relative_gap,12.6394,
sensitivity analaysis,iteration,7,total_system_demand,29316.7,avg travel time,12.7443,optimization obj,45194,relative_gap,12.083,
sensitivity analaysis,iteration,8,total_system_demand,29316.7,avg travel time,12.66,optimization obj,42910.9,relative_gap,11.5493,
sensitivity analaysis,iteration,9,total_system_demand,29316.7,avg travel time,12.5797,optimization obj,40748.4,relative_gap,11.0374,
sensitivity analaysis,iteration,10,total_system_demand,29316.7,avg travel time,12.5034,optimization obj,38698.9,relative_gap,10.5465,
sensitivity analaysis,iteration,11,total_system_demand,29316.7,avg travel time,12.4308,optimization obj,36755.8,relative_gap,10.0757,
sensitivity analaysis,iteration,12,total_system_demand,29316.7,avg travel time,12.3616,optimization obj,34912.7,relative_gap,9.62421,
sensitivity analaysis,iteration,13,total_system_demand,29316.7,avg travel time,12.2956,optimization obj,33163.7,relative_gap,9.19129,
sensitivity analaysis,iteration,14,total_system_demand,29316.7,avg travel time,12.2327,optimization obj,31503.3,relative_gap,8.77616,
sensitivity analaysis,iteration,15,total_system_demand,29316.7,avg travel time,12.1727,optimization obj,29926.1,relative_gap,8.37808,
sensitivity analaysis,iteration,16,total_system_demand,29316.7,avg travel time,12.1153,optimization obj,28427.5,relative_gap,7.99634,
sensitivity analaysis,iteration,17,total_system_demand,29316.7,avg travel time,12.0606,optimization obj,27002.9,relative_gap,7.63023,
sensitivity analaysis,iteration,18,total_system_demand,29316.7,avg travel time,12.0082,optimization obj,25648,relative_gap,7.27911,
sensitivity analaysis,iteration,19,total_system_demand,29316.7,avg travel time,11.9581,optimization obj,24358.9,relative_gap,6.94231,
